item1,item2,value1,value2,value3,value4,value5,value6,value7
104年 2月,澎湖縣,56.0,0.0,52.1,1.82,0.31,4.0,55.18
104年 2月,基隆市,62.76,0.0,35.6,2.52,0.44,12.51,50.2
104年 2月,新竹市,83.47,0.0,53.5,2.3,0.52,18.59,50.63
104年 2月,嘉義市,94.08,0.0,91.1,3.46,0.62,19.08,59.22
104年 2月,金門縣,42.78,0.0,79.3,3.78,0.46,12.09,54.27
104年 2月,連江縣,0.0,0.0,59.1,2.78,0.44,6.96,55.96
104年 3月,新北市,32.79,0.0,44.3,3.2,0.53,18.66,55.0
104年 3月,臺北市,30.56,0.0,45.2,3.22,0.63,24.39,54.08
104年 3月,桃園市,37.09,0.0,49.7,3.54,0.49,19.21,52.79
104年 3月,臺中市,45.28,0.0,56.2,2.85,0.51,18.98,56.83
104年 3月,臺南市,87.8,0.0,69.4,3.47,0.49,16.71,62.1
104年 3月,高雄市,88.68,0.0,77.9,4.69,0.53,20.41,66.27
104年 3月,宜蘭縣,72.6,0.0,35.8,1.94,0.35,8.92,50.39
104年 3月,新竹縣,123.83,0.0,45.3,2.56,0.4,13.73,53.54
104年 3月,苗栗縣,50.5,0.0,46.7,2.52,0.41,14.54,52.36
104年 3月,彰化縣,69.98,0.0,58.4,4.06,0.47,15.73,57.27
104年 3月,南投縣,94.49,0.0,77.4,2.68,0.52,18.85,63.39
104年 3月,雲林縣,88.35,0.0,67.1,3.7,0.46,16.61,58.52
104年 3月,嘉義縣,57.81,0.0,76.2,3.53,0.42,13.12,59.08
104年 3月,屏東縣,93.59,0.0,62.3,2.62,0.39,10.88,69.27
104年 3月,臺東縣,56.0,0.0,20.9,1.29,0.39,5.74,44.05
104年 3月,花蓮縣,26.73,0.0,26.5,1.54,0.36,9.15,45.51
104年 3月,澎湖縣,72.0,0.0,39.4,1.54,0.28,3.58,54.17
104年 3月,基隆市,30.7,0.0,29.6,2.52,0.43,12.43,52.91
104年 3月,新竹市,96.85,0.0,45.8,2.75,0.52,19.11,51.95
104年 3月,嘉義市,89.78,0.0,75.1,3.42,0.55,17.72,63.14
104年 3月,金門縣,47.95,0.0,61.9,4.07,0.38,12.29,53.26
104年 3月,連江縣,0.0,0.0,43.5,2.57,0.33,6.5,58.39
104年 4月,新北市,35.63,0.0,45.3,3.48,0.48,17.99,62.55
104年 4月,臺北市,31.82,0.0,45.8,3.28,0.57,22.97,63.26
104年 4月,桃園市,37.72,0.0,50.6,3.93,0.42,17.04,60.3
104年 4月,臺中市,40.39,0.0,45.4,3.03,0.38,14.47,64.75
104年 4月,臺南市,55.19,0.0,54.1,3.11,0.36,12.53,61.6
104年 4月,高雄市,82.48,0.0,57.7,4.67,0.38,15.18,61.73
104年 4月,宜蘭縣,33.0,0.0,35.7,2.0,0.32,8.08,54.54
104年 4月,新竹縣,103.51,0.0,43.3,2.68,0.32,11.59,61.41
104年 4月,苗栗縣,50.72,0.0,53.9,2.81,0.33,11.79,61.86
104年 4月,彰化縣,80.41,0.0,47.6,3.7,0.34,11.85,59.02
104年 4月,南投縣,50.61,0.0,57.3,2.6,0.38,13.67,72.08
104年 4月,雲林縣,72.51,0.0,54.3,3.2,0.34,12.5,59.58
104年 4月,嘉義市,61.59,0.0,57.3,2.88,0.38,12.0,66.86
104年 4月,金門縣,25.7,0.0,58.4,4.51,0.31,11.61,59.14
104年 4月,連江縣,0.0,0.0,51.0,2.82,0.28,6.86,67.58
104年 5月,新北市,42.77,0.0,39.2,3.71,0.5,18.8,53.94
104年 5月,臺北市,42.05,0.0,38.0,3.51,0.63,23.47,53.84
104年 5月,桃園市,50.29,0.0,43.5,4.04,0.4,16.19,49.36
104年 5月,臺中市,57.28,0.0,37.1,2.83,0.37,14.06,49.89
104年 5月,臺南市,43.18,0.0,37.2,2.49,0.29,9.48,44.37
104年 5月,高雄市,40.26,0.0,35.7,3.84,0.28,10.84,40.98
104年 5月,宜蘭縣,39.47,0.0,30.3,2.18,0.33,9.0,50.96
104年 5月,新竹縣,54.52,0.0,38.6,2.61,0.31,11.62,50.26
104年 5月,苗栗縣,53.59,0.0,44.6,2.59,0.29,10.85,48.79
104年 5月,彰化縣,34.61,0.0,39.1,3.19,0.29,10.14,47.04
104年 5月,南投縣,47.67,0.0,40.9,2.13,0.3,10.68,55.08
104年 5月,雲林縣,49.21,0.0,37.8,2.46,0.29,9.63,47.02
104年 5月,嘉義縣,39.77,0.0,44.2,2.15,0.28,8.43,41.07
104年 5月,屏東縣,38.89,0.0,32.2,2.01,0.22,7.13,48.09
104年 5月,臺東縣,52.48,0.0,21.1,1.36,0.35,5.93,39.92
104年 5月,花蓮縣,39.53,0.0,26.2,1.71,0.31,7.26,47.48
104年 5月,澎湖縣,40.0,0.0,25.5,2.87,0.22,4.94,45.7
104年 5月,基隆市,64.8,0.0,29.7,3.04,0.4,13.56,56.72
104年 5月,新竹市,55.83,0.0,30.4,2.57,0.42,15.43,46.31
104年 5月,嘉義市,39.74,0.0,38.4,2.5,0.3,8.31,51.49
104年 5月,金門縣,28.42,0.0,49.6,3.95,0.28,9.92,56.41
104年 5月,連江縣,0.0,0.0,46.5,2.67,0.26,6.42,64.91
104年 6月,新北市,41.77,0.0,34.4,3.8,0.39,15.75,60.2
104年 6月,臺北市,36.85,0.0,35.8,3.35,0.52,19.82,60.28
104年 6月,桃園市,51.48,0.0,36.5,3.6,0.29,12.09,48.36
104年 6月,臺中市,41.68,0.0,29.5,2.89,0.3,10.04,46.18
104年 6月,臺南市,30.88,0.0,28.2,2.8,0.21,7.22,38.82
104年 6月,高雄市,30.84,0.0,31.4,3.89,0.2,7.68,34.75
104年 6月,宜蘭縣,42.13,0.0,29.7,2.59,0.26,7.1,47.96
104年 6月,新竹縣,36.87,0.0,33.0,2.7,0.22,8.32,49.21
104年 6月,苗栗縣,31.57,0.0,30.3,2.74,0.21,8.04,48.81
104年 6月,彰化縣,51.07,0.0,35.6,3.23,0.2,7.11,39.33
104年 6月,南投縣,34.17,0.0,33.1,1.92,0.21,7.02,53.03
104年 6月,雲林縣,31.37,0.0,29.6,2.49,0.21,7.21,41.47
104年 6月,嘉義縣,18.48,0.0,37.2,2.37,0.21,7.1,35.92
104年 6月,屏東縣,30.69,0.0,26.3,2.08,0.17,5.73,40.67
104年 6月,臺東縣,38.96,0.0,23.0,1.44,0.28,4.98,32.02
104年 6月,花蓮縣,31.28,0.0,24.0,1.36,0.21,4.38,34.81
104年 6月,澎湖縣,36.5,0.0,12.2,2.55,0.17,5.22,24.92
104年 6月,基隆市,50.72,0.0,29.5,3.91,0.33,13.52,63.87
104年 6月,新竹市,56.13,0.0,22.3,2.59,0.33,11.37,40.46
104年 6月,嘉義市,35.58,0.0,30.4,2.27,0.21,5.59,47.7
104年 6月,金門縣,26.49,0.0,31.5,2.97,0.14,6.94,44.06
104年 6月,連江縣,0.0,0.0,33.9,2.72,0.15,4.73,52.11
104年 7月,新北市,50.7,0.0,34.1,3.55,0.35,13.84,60.94
104年 7月,臺北市,54.03,0.0,34.8,3.08,0.46,17.18,64.42
104年 7月,桃園市,71.24,0.0,39.2,3.75,0.3,12.17,59.72
104年 7月,臺中市,45.22,0.0,35.5,2.87,0.28,9.82,54.51
104年 7月,臺南市,36.36,0.0,32.0,2.37,0.24,7.3,48.05
104年 7月,高雄市,48.42,0.0,35.1,3.81,0.25,8.66,45.59
104年 7月,宜蘭縣,48.49,0.0,30.7,3.08,0.25,7.19,47.21
104年 7月,新竹縣,60.56,0.0,37.5,2.44,0.22,8.22,59.42
104年 7月,苗栗縣,39.39,0.0,37.2,2.52,0.23,7.39,54.54
104年 7月,彰化縣,68.81,0.0,39.6,3.27,0.21,6.43,49.63
104年 7月,南投縣,44.21,0.0,35.9,1.98,0.24,7.05,60.51
104年 7月,雲林縣,45.11,0.0,35.6,2.48,0.22,7.01,51.23
104年 7月,嘉義縣,24.1,0.0,39.0,2.29,0.21,6.32,48.38
104年 7月,屏東縣,47.48,0.0,29.3,1.8,0.2,5.07,48.13
104年 7月,臺東縣,34.41,0.0,25.6,1.16,0.27,4.85,32.44
104年 7月,花蓮縣,39.64,0.0,27.9,1.6,0.21,4.94,38.32
104年 7月,澎湖縣,36.88,0.0,18.2,2.32,0.18,3.61,38.14
104年 7月,基隆市,51.36,0.0,29.2,3.0,0.28,10.45,52.17
104年 7月,新竹市,52.53,0.0,28.8,2.39,0.33,11.24,50.26
104年 7月,嘉義市,29.04,0.0,33.4,2.13,0.24,5.83,56.69
104年 7月,金門縣,33.26,0.0,37.2,3.03,0.16,5.76,52.25
104年 7月,連江縣,0.0,0.0,35.0,2.63,0.15,3.99,53.89
104年 8月,新北市,46.83,0.0,28.3,3.11,0.37,14.05,49.08
104年 8月,臺北市,26.46,0.0,29.3,3.06,0.47,17.59,47.7
104年 8月,桃園市,44.34,0.0,32.2,3.37,0.31,12.94,45.51
104年 8月,臺中市,37.28,0.0,32.1,2.91,0.33,11.55,50.33
104年 8月,臺南市,35.9,0.0,31.3,2.67,0.26,8.42,48.28
104年 8月,高雄市,33.47,0.0,33.6,3.8,0.29,10.68,47.95
104年 8月,宜蘭縣,38.61,0.0,25.8,2.28,0.23,6.48,40.35
104年 8月,新竹縣,37.31,0.0,30.0,2.65,0.23,8.25,47.26
104年 8月,苗栗縣,34.08,0.0,29.7,2.16,0.24,7.77,48.78
104年 8月,彰化縣,71.36,0.0,33.7,3.09,0.24,7.12,46.76
104年 8月,南投縣,39.72,0.0,34.1,2.03,0.27,7.24,54.44
104年 8月,雲林縣,42.82,0.0,26.8,2.34,0.23,7.47,48.36
104年 8月,嘉義縣,23.72,0.0,38.7,2.32,0.24,7.09,46.31
104年 8月,屏東縣,41.24,0.0,30.2,2.01,0.21,5.32,50.64
104年 8月,臺東縣,33.47,0.0,26.3,1.4,0.27,4.84,29.46
104年 8月,花蓮縣,28.15,0.0,24.4,1.9,0.23,0.0,34.14
104年 8月,澎湖縣,31.75,0.0,0.0,2.38,0.16,4.39,37.38
104年 8月,基隆市,40.48,0.0,22.0,2.3,0.27,9.56,44.76
104年 8月,新竹市,37.53,0.0,21.5,2.19,0.35,12.26,41.48
104年 8月,嘉義市,42.9,0.0,33.1,2.62,0.27,7.43,53.28
104年 8月,金門縣,49.87,0.0,36.6,3.37,0.18,7.45,53.73
104年 8月,連江縣,0.0,0.0,31.2,2.4,0.16,3.99,50.75
104年 9月,新北市,42.72,0.0,36.0,2.95,0.43,14.56,61.22
104年 9月,臺北市,43.99,0.0,33.9,2.99,0.51,18.73,58.14
104年 9月,桃園市,55.05,0.0,37.8,3.7,0.37,14.11,62.63
104年 9月,臺中市,57.32,0.0,43.5,2.96,0.4,14.8,77.04
104年 9月,臺南市,43.48,0.0,44.9,2.94,0.35,10.33,78.16
104年 9月,高雄市,48.84,0.0,43.5,4.14,0.35,11.4,75.0
104年 9月,宜蘭縣,37.37,0.0,31.2,2.0,0.28,5.28,52.93
104年 9月,新竹縣,39.6,0.0,39.2,2.98,0.3,9.39,70.07
104年 9月,苗栗縣,53.18,0.0,43.0,2.76,0.34,11.29,73.12
104年 9月,彰化縣,60.82,0.0,43.4,4.03,0.36,11.02,71.36
104年 9月,南投縣,59.12,0.0,52.7,2.38,0.39,10.7,84.32
104年 9月,雲林縣,46.98,0.0,45.4,3.2,0.33,10.64,73.59
104年 9月,嘉義縣,36.08,0.0,55.5,3.0,0.31,8.51,77.31
104年 9月,屏東縣,43.64,0.0,37.0,2.07,0.27,5.63,65.86
104年 9月,臺東縣,24.0,0.0,21.4,1.29,0.31,5.06,42.73
104年 9月,花蓮縣,34.78,0.0,29.0,1.67,0.27,5.99,50.21
104年 9月,澎湖縣,32.47,0.0,23.5,2.4,0.21,3.5,60.22
104年 9月,基隆市,43.96,0.0,26.8,2.14,0.32,9.59,57.58
104年 9月,新竹市,48.13,0.0,35.2,2.84,0.41,13.96,68.45
104年 9月,嘉義市,52.13,0.0,46.5,2.74,0.39,9.76,79.58
104年 9月,金門縣,53.82,0.0,44.2,3.57,0.28,7.25,70.75
104年 9月,連江縣,0.0,0.0,30.9,2.49,0.23,4.14,71.8
104年 10月,新北市,41.17,0.0,40.1,2.71,0.39,12.65,53.61
104年 10月,臺北市,35.39,0.0,37.9,2.7,0.44,16.91,51.15
104年 10月,桃園市,51.82,0.0,45.5,3.47,0.37,13.32,55.37
104年 10月,臺中市,101.76,0.0,54.4,3.0,0.46,16.57,73.75
104年 10月,臺南市,78.31,0.0,59.2,3.26,0.41,12.82,79.04
104年 10月,高雄市,60.56,0.0,59.4,4.3,0.43,14.57,79.29
104年 10月,宜蘭縣,72.64,0.0,36.3,2.3,0.29,7.85,47.78
104年 10月,新竹縣,52.58,0.0,42.7,2.53,0.31,9.25,63.62
104年 10月,苗栗縣,58.16,0.0,49.2,2.68,0.38,11.89,68.34
104年 10月,彰化縣,72.66,0.0,54.8,3.85,0.41,12.83,72.71
104年 10月,南投縣,61.34,0.0,69.4,2.6,0.44,14.87,81.78
104年 10月,雲林縣,69.1,0.0,58.7,3.32,0.39,12.59,71.59
104年 10月,嘉義縣,57.53,0.0,67.3,3.1,0.35,9.69,75.96
104年 10月,屏東縣,51.33,0.0,45.9,2.23,0.31,6.66,70.67
104年 10月,臺東縣,26.27,0.0,29.5,1.24,0.29,4.84,41.62
104年 10月,花蓮縣,27.66,0.0,31.1,1.84,0.3,7.24,48.36
104年 10月,澎湖縣,43.82,0.0,39.8,1.68,0.22,3.09,57.76
104年 10月,基隆市,46.8,0.0,31.6,1.87,0.29,6.98,55.51
104年 10月,新竹市,69.75,0.0,44.1,2.81,0.4,13.38,64.85
104年 10月,嘉義市,71.87,0.0,64.8,3.56,0.47,14.2,78.13
104年 10月,金門縣,39.38,0.0,61.1,4.28,0.31,8.12,70.55
104年 10月,連江縣,0.0,0.0,49.2,2.8,0.25,4.05,68.88
104年 11月,新北市,39.74,0.0,35.3,3.07,0.45,15.03,49.23
104年 11月,臺北市,28.44,0.0,33.0,2.92,0.5,18.66,47.92
104年 11月,桃園市,49.83,0.0,44.1,3.85,0.45,16.13,48.18
104年 11月,臺中市,59.57,0.0,60.7,2.99,0.51,19.33,65.12
104年 11月,臺南市,112.48,0.0,73.1,3.56,0.45,15.41,76.21
104年 11月,高雄市,95.8,0.0,74.1,4.98,0.5,18.98,81.51
104年 11月,宜蘭縣,35.09,0.0,27.6,2.18,0.34,8.55,41.24
104年 11月,新竹縣,52.8,0.0,35.3,2.72,0.38,12.11,58.25
104年 11月,苗栗縣,68.8,0.0,47.2,2.99,0.42,14.37,62.01
104年 11月,彰化縣,71.98,0.0,61.2,4.39,0.48,15.55,63.22
104年 11月,南投縣,73.86,0.0,69.6,3.15,0.5,17.58,82.34
104年 11月,雲林縣,77.07,0.0,76.6,3.79,0.44,14.88,66.01
104年 11月,嘉義縣,66.39,0.0,82.7,3.51,0.41,13.08,71.95
104年 11月,屏東縣,92.56,0.0,52.5,2.63,0.35,8.81,74.19
104年 11月,臺東縣,20.44,0.0,14.6,1.34,0.31,4.86,35.65
104年 11月,花蓮縣,21.23,0.0,20.9,2.09,0.32,7.91,41.1
104年 11月,澎湖縣,78.0,0.0,30.3,1.59,0.27,3.37,52.58
104年 11月,基隆市,35.38,0.0,25.9,2.0,0.35,8.74,53.49
104年 11月,新竹市,66.14,0.0,44.5,2.91,0.49,17.75,59.35
104年 11月,嘉義市,107.96,0.0,74.8,3.71,0.54,17.42,80.75
104年 11月,金門縣,62.53,0.0,54.1,4.64,0.36,9.69,64.33
104年 11月,連江縣,0.0,0.0,34.7,2.56,0.34,5.88,52.12
104年 12月,新北市,49.03,0.0,42.0,3.05,0.46,15.19,40.13
104年 12月,臺北市,61.52,0.0,41.3,3.03,0.53,20.04,38.63
104年 12月,桃園市,74.66,0.0,47.5,3.55,0.44,15.85,40.78
104年 12月,臺中市,53.01,0.0,47.2,2.85,0.51,17.91,46.05
104年 12月,臺南市,124.98,0.0,72.1,3.52,0.5,17.96,61.91
104年 12月,高雄市,100.73,0.0,80.9,4.93,0.59,23.76,66.88
104年 12月,宜蘭縣,80.5,0.0,40.1,2.3,0.36,9.42,39.4
104年 12月,新竹縣,90.69,0.0,40.8,2.88,0.39,11.16,45.97
104年 12月,苗栗縣,43.46,0.0,45.1,2.97,0.42,13.82,45.1
104年 12月,彰化縣,75.44,0.0,51.1,3.91,0.49,15.99,46.88
104年 12月,南投縣,74.26,0.0,67.4,3.36,0.58,19.87,59.86
104年 12月,雲林縣,94.24,0.0,65.2,3.7,0.47,17.72,49.64
104年 12月,嘉義縣,87.76,0.0,74.9,3.41,0.43,13.93,55.36
104年 12月,屏東縣,106.59,0.0,61.2,2.43,0.44,11.87,70.07
104年 12月,臺東縣,54.11,0.0,20.9,1.49,0.36,5.8,39.22
104年 12月,花蓮縣,29.54,0.0,27.0,2.32,0.39,9.94,41.08
104年 12月,澎湖縣,60.0,0.0,37.8,1.62,0.31,3.86,48.07
104年 12月,基隆市,32.55,0.0,32.4,2.12,0.37,9.31,43.37
104年 12月,新竹市,69.14,0.0,44.9,3.09,0.47,16.18,44.63
104年 12月,嘉義市,136.46,0.0,79.1,3.75,0.61,20.57,59.2
104年 12月,金門縣,47.38,0.0,63.7,4.85,0.43,12.5,47.29
104年 12月,連江縣,0.0,0.0,42.6,2.97,0.38,6.82,46.57
105年,新北市,39.74,0.0,36.7,2.9,0.44,15.6,52.59
105年,臺北市,39.09,0.0,34.3,2.69,0.52,20.02,51.18
105年,桃園市,50.72,0.0,42.4,3.5,0.39,15.64,50.59
105年,臺中市,38.32,0.0,42.1,2.63,0.42,15.26,56.56
105年,臺南市,49.12,0.0,50.7,2.89,0.37,12.9,56.9
105年,高雄市,57.77,0.0,54.0,4.51,0.41,15.89,57.4
105年,宜蘭縣,35.01,0.0,33.4,2.12,0.29,8.11,43.53
105年,新竹縣,51.92,0.0,36.8,2.56,0.31,10.52,53.42
105年,苗栗縣,48.84,0.0,40.9,2.38,0.33,11.52,53.14
105年,彰化縣,52.22,0.0,47.3,3.47,0.36,12.09,53.63
105年,南投縣,53.34,0.0,49.7,2.59,0.39,13.21,60.99
105年,雲林縣,49.62,0.0,49.4,2.93,0.34,12.11,57.85
105年,嘉義縣,41.43,0.0,58.4,2.81,0.33,10.08,57.18
105年,屏東縣,53.16,0.0,43.6,2.14,0.3,8.5,58.6
105年,臺東縣,33.1,0.0,25.4,1.29,0.32,5.4,33.72
105年,花蓮縣,32.55,0.0,28.1,1.72,0.29,7.01,42.31
105年,澎湖縣,65.73,0.0,30.4,1.93,0.23,4.43,46.98
105年,基隆市,42.32,0.0,26.1,2.47,0.35,10.96,50.85
105年,新竹市,51.74,0.0,39.7,2.48,0.41,15.26,52.33
105年,嘉義市,58.64,0.0,54.1,3.14,0.42,13.3,58.58
105年,金門縣,59.14,0.0,52.6,3.82,0.3,10.83,54.8
105年,連江縣,0.0,0.0,41.7,2.7,0.27,5.86,57.5
105年 1月,新北市,48.5,0.0,38.3,2.64,0.58,17.89,36.96
105年 1月,臺北市,41.39,0.0,36.0,2.58,0.67,23.54,33.78
105年 1月,桃園市,56.79,0.0,42.9,3.11,0.49,17.82,35.4
105年 1月,臺中市,40.65,0.0,38.2,2.26,0.52,17.78,38.9
105年 1月,臺南市,81.91,0.0,57.0,2.86,0.52,17.94,46.08
105年 1月,新竹市,65.16,0.0,41.8,2.48,0.51,17.46,40.49
105年 1月,嘉義市,92.51,0.0,61.3,3.18,0.62,20.56,42.98
105年 1月,金門縣,55.34,0.0,58.7,3.76,0.48,13.35,44.41
105年 1月,連江縣,0.0,0.0,44.7,2.93,0.43,7.32,46.55
105年 2月,新北市,32.74,0.0,41.4,2.28,0.5,16.28,48.08
105年 2月,臺北市,36.4,0.0,40.5,2.24,0.55,21.79,45.15
105年 2月,桃園市,41.54,0.0,45.3,2.45,0.43,15.56,44.12
105年 2月,臺中市,30.5,0.0,44.5,2.34,0.47,16.47,47.46
105年 2月,臺南市,68.06,0.0,68.0,2.95,0.48,16.27,52.2
105年 2月,高雄市,76.97,0.0,69.2,3.86,0.54,20.81,57.48
105年 2月,宜蘭縣,17.12,0.0,35.5,1.79,0.33,8.09,47.62
105年 2月,新竹縣,43.73,0.0,40.9,2.17,0.36,11.07,50.69
105年 2月,苗栗縣,59.76,0.0,44.8,2.19,0.4,13.0,45.65
105年 2月,彰化縣,50.47,0.0,52.1,3.12,0.44,14.08,47.46
105年 2月,南投縣,59.05,0.0,61.8,2.66,0.53,17.95,50.57
105年 2月,雲林縣,38.12,0.0,60.4,3.22,0.44,15.95,50.08
105年 2月,嘉義縣,41.05,0.0,75.5,3.04,0.42,12.24,54.1
105年 2月,屏東縣,104.31,0.0,57.5,2.13,0.42,10.97,62.71
105年 2月,臺東縣,26.46,0.0,23.7,1.1,0.38,6.31,43.57
105年 2月,花蓮縣,33.83,0.0,32.8,1.73,0.38,9.43,48.23
105年 2月,澎湖縣,55.0,0.0,42.5,2.14,0.3,4.31,54.6
105年 2月,基隆市,33.02,0.0,33.1,2.15,0.41,10.73,50.77
105年 2月,新竹市,45.69,0.0,43.4,2.43,0.44,15.52,51.16
108年 9月,臺南市,40.1,20.6,43.5,2.37,0.29,8.7,71.8
108年 9月,高雄市,44.43,19.9,38.8,3.09,0.3,9.93,71.98
108年 9月,宜蘭縣,38.21,7.8,17.4,1.77,0.2,4.9,40.61
108年 9月,新竹縣,42.76,11.8,24.6,1.82,0.22,7.04,57.69
108年 9月,苗栗縣,31.11,17.0,26.1,2.24,0.25,7.34,55.77
105年 3月,苗栗縣,81.55,0.0,49.8,2.58,0.41,16.29,53.11
105年 3月,彰化縣,29.75,0.0,59.2,3.68,0.49,17.55,58.04
105年 3月,南投縣,74.36,0.0,64.8,3.06,0.55,19.42,54.95
105年 3月,雲林縣,90.48,0.0,62.8,3.19,0.45,17.18,60.29
105年 3月,嘉義縣,65.61,0.0,76.3,2.96,0.42,13.22,61.91
105年 3月,屏東縣,81.21,0.0,53.1,2.22,0.4,11.01,62.68
105年 3月,臺東縣,52.92,0.0,23.4,1.33,0.37,6.62,40.55
105年 3月,花蓮縣,40.39,0.0,33.1,1.52,0.35,9.08,51.97
105年 3月,澎湖縣,0.0,0.0,43.8,1.54,0.29,0.0,58.24
105年 3月,基隆市,58.39,0.0,32.5,2.97,0.48,16.51,54.43
105年 3月,新竹市,91.63,0.0,49.9,2.68,0.53,22.08,53.56
105年 3月,嘉義市,87.52,0.0,70.6,3.39,0.57,19.78,55.09
105年 3月,金門縣,169.91,0.0,74.5,4.46,0.41,15.4,57.81
105年 3月,連江縣,0.0,0.0,55.2,2.95,0.36,8.45,63.0
105年 4月,新北市,72.11,0.0,51.6,3.5,0.59,19.97,63.39
105年 4月,臺北市,48.91,0.0,50.2,3.39,0.71,25.5,65.13
105年 4月,桃園市,74.67,0.0,59.3,3.82,0.5,19.18,56.66
105年 4月,臺中市,48.42,0.0,53.7,2.93,0.49,17.19,62.78
105年 4月,臺南市,57.4,0.0,52.5,3.11,0.41,11.84,58.67
105年 4月,高雄市,56.1,0.0,48.8,4.94,0.4,14.13,57.47
105年 4月,宜蘭縣,40.94,0.0,44.5,2.55,0.38,10.05,51.37
105年 4月,新竹縣,70.21,0.0,47.6,2.73,0.39,12.8,58.03
105年 4月,苗栗縣,63.34,0.0,53.0,2.69,0.39,13.14,58.18
105年 4月,彰化縣,0.0,0.0,57.9,3.85,0.41,12.19,60.07
105年 4月,南投縣,73.98,0.0,59.5,2.96,0.42,13.19,62.74
105年 4月,雲林縣,46.13,0.0,58.6,3.0,0.38,11.64,63.43
105年 4月,嘉義縣,36.75,0.0,68.2,2.84,0.4,9.87,60.0
105年 4月,屏東縣,58.59,0.0,40.4,2.41,0.31,7.94,60.7
105年 4月,臺東縣,46.28,0.0,27.5,1.45,0.39,6.18,40.22
105年 4月,花蓮縣,50.72,0.0,39.2,1.74,0.36,8.27,52.0
105年 4月,澎湖縣,0.0,0.0,31.8,2.38,0.3,5.88,52.33
105年 4月,基隆市,45.78,0.0,35.3,3.19,0.49,14.56,61.74
105年 4月,新竹市,74.52,0.0,50.2,2.83,0.52,18.77,59.94
105年 4月,嘉義市,58.11,0.0,61.1,3.12,0.43,11.8,62.22
105年 4月,金門縣,39.52,0.0,52.4,3.91,0.35,13.49,53.84
105年 4月,連江縣,0.0,0.0,39.6,2.5,0.33,7.09,66.66
105年 5月,新北市,31.75,0.0,37.5,3.3,0.45,15.83,60.08
105年 5月,臺北市,37.43,0.0,36.4,3.35,0.52,20.02,60.45
105年 5月,桃園市,56.57,0.0,46.5,3.94,0.42,16.4,55.4
105年 5月,臺中市,52.71,0.0,38.9,2.9,0.42,14.19,63.31
105年 5月,臺南市,33.81,0.0,41.7,2.89,0.32,9.92,56.27
105年 5月,高雄市,51.46,0.0,42.0,4.79,0.31,11.51,52.58
105年 5月,宜蘭縣,40.24,0.0,33.2,2.22,0.29,7.59,46.17
105年 5月,新竹縣,63.26,0.0,35.7,2.76,0.32,10.78,57.67
105年 5月,苗栗縣,48.66,0.0,39.4,2.7,0.31,10.72,58.75
105年 5月,彰化縣,40.5,0.0,42.1,3.46,0.32,10.44,58.4
105年 5月,南投縣,47.65,0.0,42.0,2.55,0.32,10.19,64.59
105年 5月,雲林縣,42.39,0.0,41.1,2.86,0.3,10.01,61.18
105年 5月,嘉義縣,33.7,0.0,50.4,2.86,0.31,9.23,57.75
105年 5月,屏東縣,32.86,0.0,33.1,1.98,0.24,6.16,54.01
105年 5月,臺東縣,32.16,0.0,19.6,1.41,0.32,5.39,32.84
105年 5月,花蓮縣,38.68,0.0,29.1,1.73,0.28,6.41,44.67
105年 5月,澎湖縣,21.21,0.0,23.2,2.05,0.24,5.35,43.81
105年 5月,基隆市,42.51,0.0,27.2,2.79,0.35,11.18,55.17
105年 5月,新竹市,68.36,0.0,37.7,2.76,0.43,15.35,58.43
105年 5月,嘉義市,33.95,0.0,45.3,2.6,0.32,9.19,59.23
105年 5月,金門縣,83.13,0.0,45.6,3.83,0.28,10.57,51.65
105年 5月,連江縣,0.0,0.0,45.0,2.63,0.3,6.53,65.84
105年 6月,新北市,38.77,0.0,28.1,3.27,0.4,15.22,60.22
105年 6月,臺北市,38.66,0.0,27.4,2.73,0.52,19.04,61.01
105年 6月,桃園市,44.57,0.0,33.2,3.6,0.29,12.31,53.52
105年 6月,臺中市,28.51,0.0,25.6,2.59,0.3,10.13,48.4
105年 6月,臺南市,28.98,0.0,26.5,2.43,0.22,7.24,42.02
105年 6月,高雄市,32.13,0.0,29.9,4.32,0.23,8.74,35.69
105年 6月,宜蘭縣,47.39,0.0,27.8,2.37,0.26,7.46,41.48
105年 6月,新竹縣,40.65,0.0,26.6,2.61,0.19,7.76,48.47
105年 6月,苗栗縣,32.34,0.0,25.6,2.31,0.18,6.82,48.34
105年 6月,彰化縣,0.0,0.0,29.9,3.02,0.2,6.7,42.63
105年 6月,南投縣,35.02,0.0,27.2,2.26,0.21,6.26,51.35
105年 6月,雲林縣,29.05,0.0,30.2,2.17,0.19,7.03,45.11
105年 6月,嘉義縣,30.6,0.0,37.9,2.38,0.21,7.5,41.18
105年 6月,屏東縣,33.91,0.0,27.6,1.65,0.17,4.83,37.3
105年 6月,臺東縣,23.0,0.0,17.1,1.3,0.27,4.8,24.6
105年 6月,花蓮縣,17.76,0.0,22.4,1.63,0.19,4.79,32.43
105年 6月,澎湖縣,35.92,0.0,12.3,2.93,0.17,5.73,29.7
105年 6月,基隆市,39.88,0.0,23.1,2.96,0.33,13.27,57.58
105年 6月,新竹市,39.44,0.0,26.2,2.2,0.31,10.99,44.94
105年 6月,嘉義市,34.72,0.0,28.7,2.36,0.2,5.69,47.74
105年 6月,金門縣,39.77,0.0,29.2,3.14,0.13,7.02,44.92
